pair,type,enrichment_ratio_r1_d2,enrichment_ratio_r1_d5,enrichment_ratio_r1_d10,enrichment_ratio_r2_d2,enrichment_ratio_r2_d5,enrichment_ratio_r2_d10,enrichment_fraction_r1_d2,enrichment_fraction_r1_d5,enrichment_fraction_r1_d10,enrichment_fraction_r2_d2,enrichment_fraction_r2_d5,enrichment_fraction_r2_d10,bound_r1_d2,bound_r1_d5,bound_r1_d10,bound_r2_d2,bound_r2_d5,bound_r2_d10,unbound_r1_d2,unbound_r1_d5,unbound_r1_d10,unbound_r2_d2,unbound_r2_d5,unbound_r2_d10,norm_bound_r1_d2,norm_bound_r1_d5,norm_bound_r1_d10,norm_bound_r2_d2,norm_bound_r2_d5,norm_bound_r2_d10,norm_unbound_r1_d2,norm_unbound_r1_d5,norm_unbound_r1_d10,norm_unbound_r2_d2,norm_unbound_r2_d5,norm_unbound_r2_d10,avg_enrichment_d2,avg_enrichment_d5,avg_enrichment_d10,domain1,domain2,d1_Gene,d1_Pathway,d1_Description,d2_Gene,d2_Pathway,d2_Description,d1_avg_d2,d1_sd_d2,d1_avg_d5,d1_sd_d5,d1_avg_d10,d1_sd_d10,d1_description,d2_avg_d2,d2_sd_d2,d2_avg_d5,d2_sd_d5,d2_avg_d10,d2_sd_d10,d2_description,composition,character,control,hit_gene,ctrl_character,order,hit_score_d2,hit_score_d5,hit_score_d10
DMD_control_tiles;ENSG00000198947;;251; --- Short_nuclear_domain;ITCH_HUMAN;WW;302;29,1 control Pair,-1.8745688969868015,1.3800269407053962,0.10595453179031238,-0.10868946890388516,1.0047969848271667,-0.2683914880308066,0.2142740699638275,0.722432888992108,0.5183522730370885,0.4811744535705108,0.667405149299168,0.45362497135738866,400,833,491,315,233,165,861,87,947,6,139,192,7.971131908104249e-6,3.913412391780406e-5,2.924866842607435e-5,1.046804211422947e-5,2.3331312955117063e-5,1.176536189040986e-5,2.9229505151946407e-5,1.5035785168701507e-5,2.717756899486502e-5,1.1287148828582071e-5,1.1626932391981198e-5,1.4170956948485177e-5,-0.9916291829453434,1.1924119627662817,-0.0812184781202471,DMD_control_tiles;ENSG00000198947;;251;,Short_nuclear_domain;ITCH_HUMAN;WW;302;29,DMD,Dystrophin,Control,ITCH,Itchy E3 ubiquitin ligase; Nedd4 family (HECT domain),NucDom Act,-0.9151563794344381,1.8045772052738573,0.6843711871945083,2.019850518637156,0.29129084873771066,1.0585850540393396,Control,-1.0730623486597204,0.8717169173721859,1.9166423646899087,0.6570569896413977,0.4193767063323562,0.466965730641235,Activator,C-A,Activator,DMD_control_tiles;ENSG00000198947;;251;,ITCH,NucDom Act,C-H,-1.0730623486597204,1.9166423646899087,0.4193767063323562
DMD_control_tiles;ENSG00000198947;;255; --- Short_nuclear_domain;ITCH_HUMAN;WW;302;29,1 control Pair,-2.0493928877182297,2.2219571672191556,-0.5013093339209722,-0.8229349865700077,0.8495676413438356,-0.67947028050714,0.19457836840159287,0.8234855625130693,0.41399336827901184,0.3611410561184736,0.6431070721613676,0.3843859949126509,698,635,194,288,286,201,1696,37,570,9,190,311,1.3909625179641912e-5,2.9832135279478485e-5,1.1556500355719804e-5,9.57078136158123e-6,2.8638435644478454e-5,1.4332349939226558e-5,5.757635393461221e-5,6.394529324620182e-6,1.6358198867025408e-5,1.6930723242873108e-5,1.5892929168895162e-5,2.2953997973848385e-5,-1.4361639371441188,1.5357624042814957,-0.5903898072140561,DMD_control_tiles;ENSG00000198947;;255;,Short_nuclear_domain;ITCH_HUMAN;WW;302;29,DMD,Dystrophin,Control,ITCH,Itchy E3 ubiquitin ligase; Nedd4 family (HECT domain),NucDom Act,-0.8724481765272949,1.7833766460024334,0.21691549812720454,1.851741460099468,0.7430361743220529,1.1800400260923025,Control,-1.0730623486597204,0.8717169173721859,1.9166423646899087,0.6570569896413977,0.4193767063323562,0.466965730641235,Activator,C-A,Activator,DMD_control_tiles;ENSG00000198947;;255;,ITCH,NucDom Act,C-H,-1.0730623486597204,1.9166423646899087,0.4193767063323562
Short_nuclear_domain;ITCH_HUMAN;WW;302;29 --- DMD_control_tiles;ENSG00000198947;;255;,1 control Pair,-1.3167015164029938,2.817009346024438,1.8817862871567488,0.6878762674635511,0.8681806042869206,0.7890784300500658,0.2864542038306012,0.875730095699872,0.7865669864079433,0.616991837936722,0.6460627363542826,0.6334270955911344,2884,4770,1360,1915,799,753,4217,184,766,21,524,421,5.747186105743163e-5,2.2409336265057065e-4,8.101464166896358e-5,6.363904967856963e-5,8.000737790188212e-5,5.369283335441591e-5,1.4316007343293611e-4,3.1799821506219284e-5,2.1983123389721864e-5,3.950502090003725e-5,4.383102570790034e-5,3.107277539225135e-5,-0.31441262446972135,1.8425949751556792,1.3354323586034074,Short_nuclear_domain;ITCH_HUMAN;WW;302;29,DMD_control_tiles;ENSG00000198947;;255;,ITCH,Itchy E3 ubiquitin ligase; Nedd4 family (HECT domain),NucDom Act,DMD,Dystrophin,Control,-1.0730623486597204,0.8717169173721859,1.9166423646899087,0.6570569896413977,0.4193767063323562,0.466965730641235,Activator,-0.8724481765272949,1.7833766460024334,0.21691549812720454,1.851741460099468,0.7430361743220529,1.1800400260923025,Control,A-C,Activator,DMD_control_tiles;ENSG00000198947;;255;,ITCH,NucDom Act,H-C,-1.0730623486597204,1.9166423646899087,0.4193767063323562
Short_nuclear_domain;ITCH_HUMAN;WW;302;29 --- DMD_control_tiles;ENSG00000198947;;259;,1 control Pair,-1.4230648216038966,2.190990406045673,1.715402783693858,-0.02295959487800119,0.03911621916342905,0.9338357085537008,0.2716250431376723,0.8203438481071524,0.7665669277569016,0.49602148935445867,0.5067779090410606,0.6563985158127387,2963,4401,1764,2730,527,874,4664,262,1115,49,614,442,5.9046159609282215e-5,2.067578383700548e-4,1.0508075581180276e-4,9.07230316566554e-5,5.277082372251799e-5,6.232076540738314e-5,1.5833497332018356e-4,4.528018062298615e-5,3.199893287146198e-5,9.21783821000869e-5,5.13592553142191e-5,3.2622723808491916e-5,-0.7230122082409489,1.115053312604551,1.3246192461237791,Short_nuclear_domain;ITCH_HUMAN;WW;302;29,DMD_control_tiles;ENSG00000198947;;259;,ITCH,Itchy E3 ubiquitin ligase; Nedd4 family (HECT domain),NucDom Act,DMD,Dystrophin,Control,-1.0730623486597204,0.8717169173721859,1.9166423646899087,0.6570569896413977,0.4193767063323562,0.466965730641235,Activator,-0.7350694648386754,1.6730542782175972,-0.17515025624857342,1.8897090253838298,0.5311832241506199,1.085538831660686,Control,A-C,Activator,DMD_control_tiles;ENSG00000198947;;259;,ITCH,NucDom Act,H-C,-1.0730623486597204,1.9166423646899087,0.4193767063323562
DMD_control_tiles;ENSG00000198947;;259; --- Short_nuclear_domain;ITCH_HUMAN;WW;302;29,1 control Pair,-2.58573601127836,0.8052959254606475,-0.6701107638473969,-1.5686936991942202,1.5775930856995966,2.662636369890074,0.14279150359147266,0.6360333138259923,0.38592230637087255,0.25212033146064955,0.7490410107011198,0.8636095339809684,439,900,317,458,556,485,1547,140,1047,24,223,74,8.748317269144413e-6,4.228176653784352e-5,1.8883559859604008e-5,1.522020091529237e-5,5.567472104311196e-5,3.4583033435447164e-5,5.251805397219639e-5,2.4195516363427715e-5,3.004742844522035e-5,4.5148595314328285e-5,1.8653280024545373e-5,5.461722990561995e-6,-2.07721485523629,1.191444505580122,0.9962628030213386,DMD_control_tiles;ENSG00000198947;;259;,Short_nuclear_domain;ITCH_HUMAN;WW;302;29,DMD,Dystrophin,Control,ITCH,Itchy E3 ubiquitin ligase; Nedd4 family (HECT domain),NucDom Act,-0.7350694648386754,1.6730542782175972,-0.17515025624857342,1.8897090253838298,0.5311832241506199,1.085538831660686,Control,-1.0730623486597204,0.8717169173721859,1.9166423646899087,0.6570569896413977,0.4193767063323562,0.466965730641235,Activator,C-A,Activator,DMD_control_tiles;ENSG00000198947;;259;,ITCH,NucDom Act,C-H,-1.0730623486597204,1.9166423646899087,0.4193767063323562
Short_nuclear_domain;ITCH_HUMAN;WW;302;29 --- DMD_control_tiles;ENSG00000198947;;297;,1 control Pair,-0.6867045485630673,1.8443368103248936,0.1919794170999264,-0.7860676038464381,2.0711720118695474,0.83959649434403,0.3832001074100088,0.7821767629773252,0.5332184940028033,0.3670576221730275,0.8077765600392574,0.6415191842521825,5693,5918,2706,3250,2710,3525,5379,448,4917,99,772,1903,1.1344913488209373e-4,2.780261048566199e-4,1.611953090854525e-4,1.0800360911506596e-4,2.7136419788998815e-4,2.5135091311330156e-4,1.8260802347540037e-4,7.74256523629687e-5,1.411109891739718e-4,1.8623795567160415e-4,6.457548062308981e-5,1.4045484933837132e-4,-0.7363860762047527,1.9577544110972207,0.5157879557219782,Short_nuclear_domain;ITCH_HUMAN;WW;302;29,DMD_control_tiles;ENSG00000198947;;297;,ITCH,Itchy E3 ubiquitin ligase; Nedd4 family (HECT domain),NucDom Act,DMD,Dystrophin,Control,-1.0730623486597204,0.8717169173721859,1.9166423646899087,0.6570569896413977,0.4193767063323562,0.466965730641235,Activator,-1.1831573047758703,0.9185321342027783,0.8061162278645105,1.5733258119372076,0.20553806537429525,0.710506250278314,Control,A-C,Activator,DMD_control_tiles;ENSG00000198947;;297;,ITCH,NucDom Act,H-C,-1.0730623486597204,1.9166423646899087,0.4193767063323562
DMD_control_tiles;ENSG00000198947;;297; --- Short_nuclear_domain;ITCH_HUMAN;WW;302;29,1 control Pair,-1.4773553588027153,1.8836522487590008,0.5443447393366905,-1.7664083120603558,2.188912789308607,0.7575221593159848,0.2642441791890388,0.7867840387498857,0.5932243906150929,0.2271664053379739,0.8201315093665233,0.6283335512064948,4593,6991,3775,2030,4125,4422,7507,515,5373,122,1083,2527,9.152852213480702e-5,3.284353665178489e-4,2.248752002208364e-4,6.746071584725657e-5,4.130543602569008e-4,3.1531169866298427e-4,2.548500524688289e-4,8.900493519403767e-5,1.5419754826759212e-4,2.2950535951450212e-4,9.058969626270242e-5,1.8651045942094812e-4,-1.6218818354315356,2.036282519033804,0.6509334493263377,DMD_control_tiles;ENSG00000198947;;297;,Short_nuclear_domain;ITCH_HUMAN;WW;302;29,DMD,Dystrophin,Control,ITCH,Itchy E3 ubiquitin ligase; Nedd4 family (HECT domain),NucDom Act,-1.1831573047758703,0.9185321342027783,0.8061162278645105,1.5733258119372076,0.20553806537429525,0.710506250278314,Control,-1.0730623486597204,0.8717169173721859,1.9166423646899087,0.6570569896413977,0.4193767063323562,0.466965730641235,Activator,C-A,Activator,DMD_control_tiles;ENSG00000198947;;297;,ITCH,NucDom Act,C-H,-1.0730623486597204,1.9166423646899087,0.4193767063323562
DMD_control_tiles;ENSG00000198947;;357; --- Short_nuclear_domain;ITCH_HUMAN;WW;302;29,1 control Pair,-0.4396303525907104,1.1563103031915682,-0.604607907139438,-1.9738511870737805,1.0551591749711675,0.1455701934103058,0.4244019613348532,0.6902938061133007,0.3967363766209614,0.20291577081315745,0.6751081641761278,0.5252040121416313,9094,5182,1869,1859,2385,1927,7240,632,5899,129,1374,1683,1.8122368393075008e-4,2.4344901577678344e-4,1.1133556270536244e-4,6.177806441381772e-5,2.3882052102126264e-4,1.3740516583527152e-4,2.457858505227549e-4,1.0922547386918796e-4,1.692930089764612e-4,2.4267369981451452e-4,1.1493097198979976e-4,1.2421729450156537e-4,-1.2067407698322454,1.105734739081368,-0.2295188568645661,DMD_control_tiles;ENSG00000198947;;357;,Short_nuclear_domain;ITCH_HUMAN;WW;302;29,DMD,Dystrophin,Control,ITCH,Itchy E3 ubiquitin ligase; Nedd4 family (HECT domain),NucDom Act,-1.2941287105750032,1.4626915884174774,0.005629607067988982,1.8135244458670914,-0.02710776026362247,0.7634265868057779,Control,-1.0730623486597204,0.8717169173721859,1.9166423646899087,0.6570569896413977,0.4193767063323562,0.466965730641235,Activator,C-A,Activator,DMD_control_tiles;ENSG00000198947;;357;,ITCH,NucDom Act,C-H,-1.0730623486597204,1.9166423646899087,0.4193767063323562
Short_nuclear_domain;ITCH_HUMAN;WW;302;29 --- DMD_control_tiles;ENSG00000198947;;357;,1 control Pair,-1.6893608018696522,1.9926980696832064,0.3888812863219623,-1.956201517433472,2.204957744109964,0.5615615015589122,0.2366786713929555,0.7991889602678428,0.5669829102583671,0.20490167335536175,0.8217662715902512,0.5961008802020693,4203,9165,3730,2232,4745,2956,7957,626,5913,153,1232,1935,8.375666852440538e-5,4.3056932257703984e-4,2.221945686950251e-4,7.417355555225452e-5,4.751376822833926e-4,2.107782408972821e-4,2.701267973217626e-4,1.0818852316789822e-4,1.6969478929951094e-4,2.8782229512884283e-4,1.0305309861094126e-4,1.4281667549645216e-4,-1.8227811596515624,2.0988279068965854,0.4752213939404372,Short_nuclear_domain;ITCH_HUMAN;WW;302;29,DMD_control_tiles;ENSG00000198947;;357;,ITCH,Itchy E3 ubiquitin ligase; Nedd4 family (HECT domain),NucDom Act,DMD,Dystrophin,Control,-1.0730623486597204,0.8717169173721859,1.9166423646899087,0.6570569896413977,0.4193767063323562,0.466965730641235,Activator,-1.2941287105750032,1.4626915884174774,0.005629607067988982,1.8135244458670914,-0.02710776026362247,0.7634265868057779,Control,A-C,Activator,DMD_control_tiles;ENSG00000198947;;357;,ITCH,NucDom Act,H-C,-1.0730623486597204,1.9166423646899087,0.4193767063323562
Random_control;;;124; --- Short_nuclear_domain;ITCH_HUMAN;WW;302;29,1 control Pair,-1.191126831328934,2.0265037059415176,0.0241521550515224,-1.7836432422590691,2.3373297585356325,0.7633679415085264,0.3045706796193202,0.8029231624379846,0.5041851518004828,0.22507592196310655,0.8348107866876773,0.6292793207592213,7640,10956,5044,3387,6421,4953,10240,731,10296,206,1521,2819,1.5224861944479113e-4,5.147100379873484e-4,3.004690092487149e-4,1.1255637663776256e-4,6.429629205356509e-4,3.5317477238303057e-4,3.4763081620897934e-4,1.26335160440469e-4,2.9548072900858525e-4,3.875254431146511e-4,1.2722708034678705e-4,2.08062123113436e-4,-1.4873850367940016,2.181916732238575,0.3937600482800244,Random_control;;;124;,Short_nuclear_domain;ITCH_HUMAN;WW;302;29,NA,Random,Control,ITCH,Itchy E3 ubiquitin ligase; Nedd4 family (HECT domain),NucDom Act,-1.2258163849474977,1.5702283036841749,0.3435698141829356,1.8671623702147129,0.08361478349272544,0.7344925142335654,Control,-1.0730623486597204,0.8717169173721859,1.9166423646899087,0.6570569896413977,0.4193767063323562,0.466965730641235,Activator,C-A,Activator,Random_control;;;124;,ITCH,NucDom Act,C-H,-1.0730623486597204,1.9166423646899087,0.4193767063323562
Short_nuclear_domain;ITCH_HUMAN;WW;302;29 --- Random_control;;;124;,1 control Pair,-1.44342836037433,2.417048909000378,0.34662474014674766,-0.933224917267176,2.587165512840118,0.5323852550869265,0.26884149559004034,0.8422905535402492,0.5597782045124846,0.3436969767758597,0.8573297362069549,0.5912224781702716,4966,8743,3577,3172,5085,3825,7928,445,5839,107,1013,2555,9.896160263911425e-5,4.1074387204485097e-4,2.1308042150726668e-4,1.0541152249630436e-4,5.091833750075977e-4,2.7274248018677405e-4,2.691422959867957e-4,7.690717701232381e-5,1.67571093306248e-4,2.0128748744304692e-4,8.473440656889894e-5,1.885770573092689e-4,-1.1883266388207532,2.502107210920248,0.43950499761683703,Short_nuclear_domain;ITCH_HUMAN;WW;302;29,Random_control;;;124;,ITCH,Itchy E3 ubiquitin ligase; Nedd4 family (HECT domain),NucDom Act,NA,Random,Control,-1.0730623486597204,0.8717169173721859,1.9166423646899087,0.6570569896413977,0.4193767063323562,0.466965730641235,Activator,-1.2258163849474977,1.5702283036841749,0.3435698141829356,1.8671623702147129,0.08361478349272544,0.7344925142335654,Control,A-C,Activator,Random_control;;;124;,ITCH,NucDom Act,H-C,-1.0730623486597204,1.9166423646899087,0.4193767063323562
Random_control;;;205; --- Short_nuclear_domain;ITCH_HUMAN;WW;302;29,1 control Pair,-1.8239093589940216,1.0683083240633022,-0.12280323423018988,-1.6003214456008348,1.5944847419902417,0.16610342071999054,0.2202452704710667,0.6771040683720437,0.4787326606634685,0.24800919059542728,0.751235515820401,0.5287517756482127,6545,9365,5682,4350,5739,5174,13602,1214,12842,233,2275,4455,1.3042764584635574e-4,4.399652706965606e-4,3.384744073257728e-4,1.4455867681554982e-4,5.7467126630651e-4,3.689332267938219e-4,4.6176507442134153e-4,2.0980969189429463e-4,3.685473506146321e-4,4.383176128432704e-4,1.9029691504861312e-4,3.288104854453201e-4,-1.7121154022974283,1.331396533026772,0.02165009324490033,Random_control;;;205;,Short_nuclear_domain;ITCH_HUMAN;WW;302;29,NA,Random,Control,ITCH,Itchy E3 ubiquitin ligase; Nedd4 family (HECT domain),NucDom Act,-1.3734530995244667,1.2911184190425231,-0.16366421890372546,1.738419130885381,-0.04995386482655279,0.6804343181616458,Control,-1.0730623486597204,0.8717169173721859,1.9166423646899087,0.6570569896413977,0.4193767063323562,0.466965730641235,Activator,C-A,Activator,Random_control;;;205;,ITCH,NucDom Act,C-H,-1.0730623486597204,1.9166423646899087,0.4193767063323562
Short_nuclear_domain;ITCH_HUMAN;WW;302;29 --- Random_control;;;205;,1 control Pair,-1.6549660536749369,1.1645488150245098,0.3197329099539389,-1.4218273154799737,1.6738481112900974,0.01421283287725398,0.24101276612540232,0.691513315758831,0.555179823558454,0.27179478254791717,0.7613732507352838,0.5024628763399143,5633,8972,5586,3951,5837,3943,10413,1088,9290,187,2190,3772,1.1225346509587808e-4,4.2150223264170227e-4,3.3275572673737536e-4,1.312991568041925e-4,5.844844365623103e-4,2.811564965690066e-4,3.5350387589688494e-4,1.880337271672097e-4,2.6660994293801056e-4,3.517828051574745e-4,1.831869204204232e-4,2.784002583837817e-4,-1.5383966845774553,1.4191984631573036,0.16697287141559644,Short_nuclear_domain;ITCH_HUMAN;WW;302;29,Random_control;;;205;,ITCH,Itchy E3 ubiquitin ligase; Nedd4 family (HECT domain),NucDom Act,NA,Random,Control,-1.0730623486597204,0.8717169173721859,1.9166423646899087,0.6570569896413977,0.4193767063323562,0.466965730641235,Activator,-1.3734530995244667,1.2911184190425231,-0.16366421890372546,1.738419130885381,-0.04995386482655279,0.6804343181616458,Control,A-C,Activator,Random_control;;;205;,ITCH,NucDom Act,H-C,-1.0730623486597204,1.9166423646899087,0.4193767063323562
Short_nuclear_domain;ITCH_HUMAN;WW;302;29 --- Random_control;;;21;,1 control Pair,-1.5417372894587316,0.9925557060718478,0.6719595752925702,-1.2364319677730693,1.2790854434284469,0.3925557328160698,0.2556597388352167,0.6655190174925244,0.6143813467444356,0.29796037667766145,0.7081868908542094,0.5676081089708221,5169,6734,3867,3748,3941,3151,8834,920,5038,156,1944,2319,1.0300695208247714e-4,3.1636157318426473e-4,2.303556024513839e-4,1.2455308521946683e-4,3.946296324296839e-4,2.2468275949503924e-4,2.998994756240355e-4,1.589991075310964e-4,1.4458351910890177e-4,2.9346586954313386e-4,1.6260975949648524e-4,1.7115858939342253e-4,-1.3890846286159004,1.1358205747501473,0.53225765405432,Short_nuclear_domain;ITCH_HUMAN;WW;302;29,Random_control;;;21;,ITCH,Itchy E3 ubiquitin ligase; Nedd4 family (HECT domain),NucDom Act,NA,Random,Control,-1.0730623486597204,0.8717169173721859,1.9166423646899087,0.6570569896413977,0.4193767063323562,0.466965730641235,Activator,-1.1282238431064355,1.4410448701167542,-0.1580536242660163,1.6959808009365938,0.3795897062437013,0.7496552136902149,Control,A-C,Activator,Random_control;;;21;,ITCH,NucDom Act,H-C,-1.0730623486597204,1.9166423646899087,0.4193767063323562
Random_control;;;21; --- Short_nuclear_domain;ITCH_HUMAN;WW;302;29,1 control Pair,-4.954422204676017,1.5267901108644135,0.00550164474295919,-2.262220032095529,3.229178263852875,NA,0.03124526019390944,0.7423636763414565,0.50095336123016,0.1724943522349397,0.9036361630588728,NA,5,53,59,59,47,NA,91,5,122,5,6,NA,9.96391488513031e-8,2.489926251673007e-6,3.5146057782859196e-6,1.9606809039350435e-6,4.7063163471695365e-6,NA,3.0892972924821406e-6,8.641255844081327e-7,3.501228529433508e-6,9.405957357151724e-6,5.01881973754584e-7,NA,-3.608321118385773,2.3779841873586443,NA,Random_control;;;21;,Short_nuclear_domain;ITCH_HUMAN;WW;302;29,NA,Random,Control,ITCH,Itchy E3 ubiquitin ligase; Nedd4 family (HECT domain),NucDom Act,-1.1282238431064355,1.4410448701167542,-0.1580536242660163,1.6959808009365938,0.3795897062437013,0.7496552136902149,Control,-1.0730623486597204,0.8717169173721859,1.9166423646899087,0.6570569896413977,0.4193767063323562,0.466965730641235,Activator,C-A,Activator,Random_control;;;21;,ITCH,NucDom Act,C-H,-1.0730623486597204,1.9166423646899087,0.4193767063323562
Short_nuclear_domain;ITCH_HUMAN;WW;302;29 --- Random_control;;;257;,1 control Pair,-0.7392546522869211,1.147874374328958,-0.12807802717738848,-0.9313618013739428,1.786463420289395,0.11881340842264286,0.3746282017433806,0.68904232438681845,0.4778203343572403,0.34398833887681823,0.7752648443885275,0.5205771659074854,5521,5217,3003,2998,3288,2385,5410,640,6812,101,1141,2122,1.1002154816160887e-4,2.450933066976996e-4,1.7888747715580705e-4,9.962917542368238e-5,3.292418755211369e-4,1.7006295823410617e-4,1.8366042145415804e-4,1.10608074804241e-4,1.9549482575820535e-4,1.9000033861446485e-4,9.544122200899674e-5,1.5661859710773722e-4,-0.8353082268304319,1.4671688973091763,-0.0046323093773728,Short_nuclear_domain;ITCH_HUMAN;WW;302;29,Random_control;;;257;,ITCH,Itchy E3 ubiquitin ligase; Nedd4 family (HECT domain),NucDom Act,NA,Random,Control,-1.0730623486597204,0.8717169173721859,1.9166423646899087,0.6570569896413977,0.4193767063323562,0.466965730641235,Activator,-1.1911654880169593,1.0011647047565508,-0.02554605352615294,1.647135339616673,-0.018038893562249327,0.5859941529839255,Control,A-C,Activator,Random_control;;;257;,ITCH,NucDom Act,H-C,-1.0730623486597204,1.9166423646899087,0.4193767063323562
Random_control;;;257; --- Short_nuclear_domain;ITCH_HUMAN;WW;302;29,1 control Pair,-1.0588045461671798,1.3845887680369944,-0.21098817231520864,-1.0330160815800715,1.3065124630870235,0.4122636687887994,0.3243378648234624,0.7230665020352516,0.4635035609969159,0.3282673206371244,0.7121000567447346,0.5709576482591243,12542,13351,7211,6086,7244,7127,15337,1390,17325,220,3506,5174,2.499348409786087e-4,6.272265167186098e-4,4.295563096138944e-4,2.0224922002285887e-4,7.253735238063004e-4,5.081923284421277e-4,5.206654129098746e-4,2.402269124654609e-4,4.972031497740617e-4,4.138621237146759e-4,2.9326636666392864e-4,3.818777669346995e-4,-1.045910313873626,1.345550615562009,0.10063774823679536,Random_control;;;257;,Short_nuclear_domain;ITCH_HUMAN;WW;302;29,NA,Random,Control,ITCH,Itchy E3 ubiquitin ligase; Nedd4 family (HECT domain),NucDom Act,-1.1911654880169593,1.0011647047565508,-0.02554605352615294,1.647135339616673,-0.018038893562249327,0.5859941529839255,Control,-1.0730623486597204,0.8717169173721859,1.9166423646899087,0.6570569896413977,0.4193767063323562,0.466965730641235,Activator,C-A,Activator,Random_control;;;257;,ITCH,NucDom Act,C-H,-1.0730623486597204,1.9166423646899087,0.4193767063323562
Short_nuclear_domain;ITCH_HUMAN;WW;302;29 --- Random_control;;;297;,1 control Pair,-1.3077576276785494,2.4045794376304315,0.43765248888968544,-1.2042436017615672,2.4692163553534896,0.6686120498260542,0.2877230320662429,0.8411390184290294,0.5752631014122797,0.30264838696644597,0.8470346729534877,0.6138314761582306,6470,11122,5344,4717,5981,4161,9402,571,8190,192,1293,2529,1.289330586135862e-4,5.225086749265507e-4,3.1833988608745683e-4,1.5675477667562033e-4,5.989037887749148e-4,2.967010353090632e-4,3.1918212246062735e-4,9.868314173940876e-5,2.350414889841019e-4,3.611887625146263e-4,1.0815556534411288e-4,1.8665807355582815e-4,-1.2560006147200582,2.4368978964919608,0.5531322693578697,Short_nuclear_domain;ITCH_HUMAN;WW;302;29,Random_control;;;297;,ITCH,Itchy E3 ubiquitin ligase; Nedd4 family (HECT domain),NucDom Act,NA,Random,Control,-1.0730623486597204,0.8717169173721859,1.9166423646899087,0.6570569896413977,0.4193767063323562,0.466965730641235,Activator,-1.221769194177444,1.622341343013299,0.3595511180855213,1.8486682559997636,0.051833018131400545,0.763791497079229,Control,A-C,Activator,Random_control;;;297;,ITCH,NucDom Act,H-C,-1.0730623486597204,1.9166423646899087,0.4193767063323562
Random_control;;;297; --- Short_nuclear_domain;ITCH_HUMAN;WW;302;29,1 control Pair,-1.4368309158103163,1.7561359983333629,-0.03684843973997919,-0.9649539914424354,2.1215072770412635,0.9827076850915718,0.2697413404119996,0.7715811270834139,0.4936149990791521,0.33875324181155886,0.8131359224960828,0.6639977849579888,2198,3293,1507,986,1454,1753,3493,265,3209,34,400,857,4.380136983503284e-5,1.5470428578790967e-4,8.977137131994714e-5,3.2766633411524624e-5,1.455954035911597e-4,1.2499805693265748e-4,1.1858148838066064e-4,4.579865597363104e-5,9.209378976190269e-5,6.396051002863173e-5,3.34587982503056e-5,6.325265679610311e-5,-1.200892453626376,1.938821637687313,0.4729296226757963,Random_control;;;297;,Short_nuclear_domain;ITCH_HUMAN;WW;302;29,NA,Random,Control,ITCH,Itchy E3 ubiquitin ligase; Nedd4 family (HECT domain),NucDom Act,-1.221769194177444,1.622341343013299,0.3595511180855213,1.8486682559997636,0.051833018131400545,0.763791497079229,Control,-1.0730623486597204,0.8717169173721859,1.9166423646899087,0.6570569896413977,0.4193767063323562,0.466965730641235,Activator,C-A,Activator,Random_control;;;297;,ITCH,NucDom Act,C-H,-1.0730623486597204,1.9166423646899087,0.4193767063323562
Short_nuclear_domain;ITCH_HUMAN;WW;302;29 --- Random_control;;;372;,1 control Pair,-1.245071875462783,1.777037665419134,-0.04680102773187932,-1.6299518165960158,2.4360989353327125,0.8206402269363244,0.29670917233003,0.7741244819356987,0.49189071103591686,0.24419865693463624,0.844036680871599,0.6384918811033281,4037,5850,2456,1829,3603,2532,5617,464,5266,100,797,1385,8.044864878254212e-5,2.748314824959829e-4,1.463029117198342e-4,6.078110802198635e-5,3.607842084862093e-4,1.8054482610010768e-4,1.906877240865075e-4,8.019085423307471e-5,1.5112679865571192e-4,1.881191471430345e-4,6.666665551373391e-5,1.0222278840443734e-4,-1.4375118460293994,2.1065683003759235,0.38691959960222255,Short_nuclear_domain;ITCH_HUMAN;WW;302;29,Random_control;;;372;,ITCH,Itchy E3 ubiquitin ligase; Nedd4 family (HECT domain),NucDom Act,NA,Random,Control,-1.0730623486597204,0.8717169173721859,1.9166423646899087,0.6570569896413977,0.4193767063323562,0.466965730641235,Activator,-1.302250609553733,1.3797424787493329,0.0998307017586648,1.896492242602414,-0.03027253229978106,0.7104379947513485,Control,A-C,Activator,Random_control;;;372;,ITCH,NucDom Act,H-C,-1.0730623486597204,1.9166423646899087,0.4193767063323562
